"","M","Ustar","sd_med","sd_sigma_T"
"1",5,0,0.345204102059744,0.0567241508579404
"2",5,0.01,0.327297118579228,0.059866101887417
"3",5,0.02,0.322650750268118,0.0611287299230088
"4",5,0.03,0.319599742898693,0.0620771981291958
"5",5,0.04,0.317337322919774,0.0628571629436016
"6",5,0.05,0.315565533984046,0.06353010380804
"7",5,0.06,0.314135177637523,0.0641533783359986
"8",5,0.07,0.312958618854853,0.0647240336046613
"9",5,0.08,0.311978945370696,0.0652560967700061
"10",5,0.09,0.311156543151123,0.0657624753550835
"11",5,0.1,0.310462405980022,0.0662397308382407
"12",5,0.11,0.309874463264005,0.0667010824650409
"13",5,0.12,0.30937541216544,0.0671439905517532
"14",5,0.13,0.308951362483482,0.0675695262446688
"15",5,0.14,0.308590949477829,0.0679805279974352
"16",5,0.15,0.308284730383145,0.0683762167393639
"17",5,0.16,0.30802476043614,0.0687547536688758
"18",5,0.17,0.307804286678104,0.0691208749672926
"19",5,0.18,0.30761752146204,0.0694710608127752
"20",5,0.19,0.307459471372122,0.0698067222213588
"21",5,0.2,0.307325805588249,0.0701269025304612
"22",5,0.21,0.307212752923546,0.0704325245133548
"23",5,0.22,0.307117020097854,0.0707228085178336
"24",5,0.23,0.307035726005977,0.0709980394471628
"25",5,0.24,0.306966348217852,0.0712573043319815
"26",5,0.25,0.306906678963511,0.0715014869187499
"27",5,0.26,0.306854788566412,0.0717301616517829
"28",5,0.27,0.306808994794336,0.0719430779166943
"29",5,0.28,0.306767836962254,0.0721401403257659
"30",5,0.29,0.306730053889053,0.0723212519992265
"31",5,0.3,0.306694565008485,0.0724863736968512
"32",5,0.31,0.3066604540837,0.0726352503352261
"33",5,0.32,0.306626955087803,0.0727678138808756
"34",5,0.33,0.306593439899671,0.07288388833602
"35",5,0.34,0.306559407531425,0.072983338117605
"36",5,0.35,0.306524474656425,0.0730660077373301
"37",5,0.36,0.306488367248076,0.0731317528843424
"38",5,0.37,0.306450913172573,0.0731803961890666
"39",5,0.38,0.306412035605026,0.0732117565932872
