"","M","Ustar","sd_med","sd_sigma_T"
"1",5,0,0.954805407021774,0.580602222668119
"2",5,0.01,0.953718232171164,0.582323248113513
"3",5,0.02,0.95344407854884,0.583990572942091
"4",5,0.03,0.953313526836023,0.585604426352883
"5",5,0.04,0.953247153933305,0.587165114547963
"6",5,0.05,0.953215345342309,0.588673017218049
"7",5,0.06,0.953203943588663,0.59012858382061
"8",5,0.07,0.953205268506382,0.591532329669453
"9",5,0.08,0.953214823072603,0.592884831855816
"10",5,0.09,0.953229838213824,0.594186725021823
"11",5,0.1,0.953248548068959,0.595438697007767
"12",5,0.11,0.953269797406121,0.596641484395087
"13",5,0.12,0.95329281540752,0.597795867967092
"14",5,0.13,0.953317079071925,0.598902668109469
"15",5,0.14,0.953342227705446,0.599962740172355
"16",5,0.15,0.953368007883119,0.600976969815356
"17",5,0.16,0.953394237263523,0.601946268356267
"18",5,0.17,0.953420780424823,0.60287156814347
"19",5,0.18,0.953447532559096,0.603753817971065
"20",5,0.19,0.953474408410036,0.604593978554724
"21",5,0.2,0.953501334768577,0.605393018085081
"22",5,0.21,0.953528245415657,0.606151907874227
"23",5,0.22,0.953555077765862,0.606871618109509
"24",5,0.23,0.953581770702189,0.607553113727505
"25",5,0.24,0.953608263248667,0.608197350419599
"26",5,0.25,0.953634493833006,0.608805270779197
"27",5,0.26,0.953660399963519,0.609377800599228
"28",5,0.27,0.953685918194593,0.609915845327203
"29",5,0.28,0.953710984290134,0.610420286683823
"30",5,0.29,0.953735533519296,0.610891979449848
"31",5,0.3,0.953759501036733,0.611331748424806
"32",5,0.31,0.953782822312524,0.611740385560033
"33",5,0.32,0.953805433586323,0.612118647267544
"34",5,0.33,0.953827272327218,0.612467251905397
"35",5,0.34,0.953848277685855,0.612786877439408
"36",5,0.35,0.953868390929165,0.613078159280463
"37",5,0.36,0.953887555850812,0.613341688296102
"38",5,0.37,0.953905719152593,0.613578008994652
"39",5,0.38,0.953922830793551,0.61378761787986
"40",5,0.39,0.953938844304729,0.613970961973756
"41",5,0.4,0.953953717068369,0.614128437505389
"42",5,0.41,0.953967410560977,0.61426038876304
"43",5,0.42,0.953979890560167,0.614367107107604
"44",5,0.43,0.953991127315557,0.614448830144957
"45",5,0.44,0.954001095684214,0.614505741055372
"46",5,0.45,0.954009775231368,0.614537968078278
"47",5,0.46,0.954017150297235,0.614545584151019
"48",5,0.47,0.954023210030892,0.614528606700599
"49",5,0.48,0.954027948392231,0.614486997587794
"50",5,0.49,0.954031364123072,0.614420663203415
"51",5,0.5,0.954033460688576,0.614329454716908
"52",5,0.51,0.954034246190157,0.614213168477872
"53",5,0.52,0.954033733251127,0.614071546571446
"54",5,0.53,0.954031938876418,0.613904277528899
"55",5,0.54,0.954028884287762,0.613710997195014
"56",5,0.55,0.95402459473585,0.613491289754171
"57",5,0.56,0.954019099291119,0.613244688917183
"58",5,0.57,0.954012430614968,0.612970679271109
"59",5,0.58,0.954004624713426,0.612668697794281
"60",5,0.59,0.953995720675575,0.612338135538775
"61",5,0.6,0.953985760399326,0.611978339482394
"62",5,0.61,0.953974788307574,0.611588614552026
"63",5,0.62,0.953962851058262,0.611168225819869
"64",5,0.63,0.953949997252498,0.610716400873607
"65",5,0.64,0.953936277145636,0.610232332361018
"66",5,0.65,0.953921742367188,0.609715180708855
"67",5,0.66,0.953906445656605,0.609164077015044
"68",5,0.67,0.953890440623428,0.608578126112366
"69",5,0.68,0.953873781542111,0.607956409800778
"70",5,0.69,0.953856523194114,0.607297990244468
"71",5,0.7,0.953838720772659,0.606601913528545
"72",5,0.71,0.953820429869187,0.60586721336903
"73",5,0.72,0.95380170656501,0.605092914968516
"74",5,0.73,0.953782607657505,0.604278039008491
"75",5,0.74,0.95376319105754,0.60342160576795
"76",5,0.75,0.953743516404411,0.602522639356551
"77",5,0.76,0.953723645956998,0.601580172049146
"78",5,0.77,0.953703645836154,0.600593248707204
"79",5,0.78,0.953683587714926,0.599560931271343
"80",5,0.79,0.953663551082105,0.59848230330794
"81",5,0.8,0.953643626243612,0.59735647459168
"82",5,0.81,0.953623918279618,0.596182585704897
"83",5,0.82,0.953604552249352,0.594959812633651
"84",5,0.83,0.953585680039614,0.593687371339813
"85",5,0.84,0.953567489401829,0.592364522287814
"86",5,0.85,0.953550215938954,0.590990574904424
"87",5,0.86,0.95353415912488,0.589564891949676
"88",5,0.87,0.953519703926775,0.588086893777159
"89",5,0.88,0.953507350360362,0.586556062462104
"90",5,0.89,0.953497754525713,0.584971945776172
"91",5,0.9,0.953491786689331,0.583334160988522
"92",5,0.91,0.953490615456457,0.581642398473629
"93",5,0.92,0.953495833354114,0.579896425107403
"94",5,0.93,0.953509651114336,0.578096087434435
"95",5,0.94,0.953535212365396,0.576241314590669
"96",5,0.95,0.953577134663851,0.57433212096738
"97",5,0.96,0.953642517248155,0.57236860860414
"98",5,0.97,0.953743043439645,0.570350969300271
"99",5,0.98,0.953900201552337,0.568279486436308
"100",5,0.99,0.954163035654036,0.566154536499005
"101",5,1,0.954805407021774,0.563976590305499
"102",5.1,0,0.903289240523159,0.54334376039858
"103",5.1,0.01,0.902156369393756,0.54506155200005
"104",5.1,0.02,0.901870048662723,0.546726906679991
"105",5.1,0.03,0.901733150259615,0.548339942815613
"106",5.1,0.04,0.901662910840108,0.549900860216891
"107",5.1,0.05,0.901628494455248,0.551409936722981
"108",5.1,0.06,0.901615177300633,0.552867524566125
"109",5.1,0.07,0.901614984629564,0.554274046522001
"110",5.1,0.08,0.901623256312051,0.555629991866763
"111",5.1,0.09,0.901637130029241,0.556935912162085
"112",5.1,0.1,0.9016547861136,0.558192416890379
"113",5.1,0.11,0.90167503867354,0.559400168962946
"114",5.1,0.12,0.90169710012657,0.560559880124234
"115",5.1,0.13,0.90172043911639,0.561672306275498
"116",5.1,0.14,0.901744691647086,0.562738242741079
"117",5.1,0.15,0.901769603944671,0.56375851950023
"118",5.1,0.16,0.901794994939513,0.564733996406892
"119",5.1,0.17,0.901820731252646,0.565665558419123
"120",5.1,0.18,0.901846710350239,0.566554110859007
"121",5.1,0.19,0.901872849143934,0.567400574722823
"122",5.1,0.2,0.901899076283108,0.568205882060093
"123",5.1,0.21,0.901925326983657,0.568970971438836
"124",5.1,0.22,0.901951539617507,0.56969678351299
"125",5.1,0.23,0.901977653533207,0.57038425670651
"126",5.1,0.24,0.902003607740848,0.571034323027202
"127",5.1,0.25,0.902029340204148,0.571647904021829
"128",5.1,0.26,0.902054787557561,0.572225906882551
"129",5.1,0.27,0.902079885118212,0.572769220713293
"130",5.1,0.28,0.902104567098942,0.573278712963221
"131",5.1,0.29,0.902128766954666,0.573755226033143
"132",5.1,0.3,0.902152417812739,0.574199574059375
"133",5.1,0.31,0.902175452951479,0.574612539878434
"134",5.1,0.32,0.902197806300718,0.574994872174811
"135",5.1,0.33,0.902219412945399,0.575347282813141
"136",5.1,0.34,0.902240209618513,0.575670444355167
"137",5.1,0.35,0.902260135173551,0.575964987761216
"138",5.1,0.36,0.902279131029521,0.576231500275245
